ID,Contracting Party,RSC Sub-division,Station ID,Sample ID,LatD,LatM,LatS,LatDir,LongD,LongM,LongS,LongDir,Sample type,Biological group,Species,Body Part,Sampling date,Nuclide,Value type,Activity or MDA,Uncertainty,Unit,Data provider,Measurement Comment,Sample Comment,Reference Comment
25,Belgium,8,Ostend,MNZ 01,51,14.0,17.0,N,2,55.0,6.0,E,BIOT,Molluscs,Mytilus edulis,WHOLE ANIMAL,05/19/10 00:00:00,226Ra,<,0.718494,,Bq/kg f.w.,SCK•CEN,,,
26,Belgium,8,Ostend,MNZ 02,51,14.0,17.0,N,2,55.0,6.0,E,BIOT,Molluscs,Mytilus edulis,WHOLE ANIMAL,07/01/10 00:00:00,226Ra,<,1.312018,,Bq/kg f.w.,SCK•CEN,,,
27,Belgium,8,Ostend,MNZ 03,51,14.0,17.0,N,2,55.0,6.0,E,BIOT,Molluscs,Mytilus edulis,WHOLE ANIMAL,09/13/10 00:00:00,226Ra,<,2.128136,,Bq/kg f.w.,SCK•CEN,,,
28,Belgium,8,Ostend,MNZ 04,51,14.0,17.0,N,2,55.0,6.0,E,BIOT,Molluscs,Mytilus edulis,WHOLE ANIMAL,11/24/10 00:00:00,226Ra,<,0.440941,,Bq/kg f.w.,SCK•CEN,,,
29,Belgium,8,Ostend,MNZ 01,51,14.0,17.0,N,2,55.0,6.0,E,BIOT,Molluscs,Mytilus edulis,WHOLE ANIMAL,05/19/10 00:00:00,228Ra,<,1.479252,,Bq/kg f.w.,SCK•CEN,,,
30,Belgium,8,Ostend,MNZ 02,51,14.0,17.0,N,2,55.0,6.0,E,BIOT,Molluscs,Mytilus edulis,WHOLE ANIMAL,07/01/10 00:00:00,228Ra,<,2.88644,,Bq/kg f.w.,SCK•CEN,,,
31,Belgium,8,Ostend,MNZ 03,51,14.0,17.0,N,2,55.0,6.0,E,BIOT,Molluscs,Mytilus edulis,WHOLE ANIMAL,09/13/10 00:00:00,228Ra,<,3.648233,,Bq/kg f.w.,SCK•CEN,,,
32,Belgium,8,Ostend,MNZ 04,51,14.0,17.0,N,2,55.0,6.0,E,BIOT,Molluscs,Mytilus edulis,WHOLE ANIMAL,11/24/10 00:00:00,228Ra,<,0.82309,,Bq/kg f.w.,SCK•CEN,,,
37,Belgium,8,Ostend,MNZ 01,51,14.0,17.0,N,2,55.0,6.0,E,BIOT,Molluscs,Mytilus edulis,WHOLE ANIMAL,05/19/10 00:00:00,"239,240Pu",<,0.012679,,Bq/kg f.w.,SCK•CEN,,,
38,Belgium,8,Ostend,MNZ 02,51,14.0,17.0,N,2,55.0,6.0,E,BIOT,Molluscs,Mytilus edulis,WHOLE ANIMAL,07/01/10 00:00:00,"239,240Pu",<,0.028864,,Bq/kg f.w.,SCK•CEN,,,
39,Belgium,8,Ostend,MNZ 03,51,14.0,17.0,N,2,55.0,6.0,E,BIOT,Molluscs,Mytilus edulis,WHOLE ANIMAL,09/13/10 00:00:00,"239,240Pu",<,0.015201,,Bq/kg f.w.,SCK•CEN,,,
40,Belgium,8,Ostend,MNZ 04,51,14.0,17.0,N,2,55.0,6.0,E,BIOT,Molluscs,Mytilus edulis,WHOLE ANIMAL,11/24/10 00:00:00,"239,240Pu",<,0.011758,,Bq/kg f.w.,SCK•CEN,,,
41,Belgium,8,Ostend,FNZ 01,51,14.0,11.0,N,2,55.0,19.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,04/14/10 00:00:00,137Cs,<,0.224795,,Bq/kg f.w.,SCK•CEN,,,
42,Belgium,8,Ostend,FNZ 02,51,14.0,11.0,N,2,55.0,19.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,07/01/10 00:00:00,137Cs,<,2.020767,,Bq/kg f.w.,SCK•CEN,,,
43,Belgium,8,Ostend,FNZ 03,51,14.0,32.0,N,2,55.0,19.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,09/13/10 00:00:00,137Cs,<,0.201424,,Bq/kg f.w.,SCK•CEN,,,
44,Belgium,8,Ostend,FNZ 04,51,14.0,11.0,N,2,55.0,19.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,11/24/10 00:00:00,137Cs,<,0.239966,,Bq/kg f.w.,SCK•CEN,,,
45,Belgium,8,Ostend,FNZ 01,51,14.0,11.0,N,2,55.0,19.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,04/14/10 00:00:00,226Ra,=,0.524522,0.094,Bq/kg f.w.,SCK•CEN,,,
46,Belgium,8,Ostend,FNZ 02,51,14.0,11.0,N,2,55.0,19.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,07/01/10 00:00:00,226Ra,=,1.389277,0.505,Bq/kg f.w.,SCK•CEN,,,
47,Belgium,8,Ostend,FNZ 03,51,14.0,32.0,N,2,55.0,19.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,09/13/10 00:00:00,226Ra,=,0.478382,0.057,Bq/kg f.w.,SCK•CEN,,,
48,Belgium,8,Ostend,FNZ 04,51,14.0,11.0,N,2,55.0,19.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,11/24/10 00:00:00,226Ra,=,0.60623,0.0879999999999999,Bq/kg f.w.,SCK•CEN,,,
49,Belgium,8,Ostend,FNZ 01,51,14.0,11.0,N,2,55.0,19.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,04/14/10 00:00:00,228Ra,=,0.91167,0.194,Bq/kg f.w.,SCK•CEN,,,
50,Belgium,8,Ostend,FNZ 02,51,14.0,11.0,N,2,55.0,19.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,07/01/10 00:00:00,228Ra,<,7.577877,,Bq/kg f.w.,SCK•CEN,,,
51,Belgium,8,Ostend,FNZ 03,51,14.0,32.0,N,2,55.0,19.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,09/13/10 00:00:00,228Ra,=,1.032298,0.12,Bq/kg f.w.,SCK•CEN,,,
52,Belgium,8,Ostend,FNZ 04,51,14.0,11.0,N,2,55.0,19.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,11/24/10 00:00:00,228Ra,=,0.921975,0.164,Bq/kg f.w.,SCK•CEN,,,
57,Belgium,8,Ostend,FNZ 01,51,14.0,11.0,N,2,55.0,19.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,04/14/10 00:00:00,"239,240Pu",<,0.019982,,Bq/kg f.w.,SCK•CEN,,,
58,Belgium,8,Ostend,FNZ 02,51,14.0,11.0,N,2,55.0,19.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,07/01/10 00:00:00,"239,240Pu",<,0.013523,,Bq/kg f.w.,SCK•CEN,,,
59,Belgium,8,Ostend,FNZ 03,51,14.0,32.0,N,2,55.0,19.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,09/13/10 00:00:00,"239,240Pu",<,0.006294,,Bq/kg f.w.,SCK•CEN,,,
60,Belgium,8,Ostend,FNZ 04,51,14.0,11.0,N,2,55.0,19.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,11/24/10 00:00:00,"239,240Pu",<,0.02526,,Bq/kg f.w.,SCK•CEN,,,
61,Belgium,8,Ostend,FNZ 01,51,14.0,11.0,N,2,55.0,19.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,04/14/10 00:00:00,99Tc,<,10.62033,,Bq/kg f.w.,SCK•CEN,,,
62,Belgium,8,Ostend,FNZ 02,51,14.0,11.0,N,2,55.0,19.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,07/01/10 00:00:00,99Tc,<,12.34164,,Bq/kg f.w.,SCK•CEN,,,
63,Belgium,8,Ostend,FNZ 03,51,14.0,32.0,N,2,55.0,19.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,09/13/10 00:00:00,99Tc,<,28.26985,,Bq/kg f.w.,SCK•CEN,,,
64,Belgium,8,Ostend,FNZ 04,51,14.0,11.0,N,2,55.0,19.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,11/24/10 00:00:00,99Tc,<,16.81531,,Bq/kg f.w.,SCK•CEN,,,
65,Belgium,8,Kloosterzande,DV 17530,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,03/03/10 00:00:00,137Cs,<,0.501854,,Bq/kg f.w.,SCK•CEN,,,
66,Belgium,8,Kloosterzande,DV 17533,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,06/14/10 00:00:00,137Cs,<,0.187126,,Bq/kg f.w.,SCK•CEN,,,
67,Belgium,8,Kloosterzande,DV 17536,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,09/27/10 00:00:00,137Cs,<,0.142231,,Bq/kg f.w.,SCK•CEN,,,
68,Belgium,8,Kloosterzande,DV 17539,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,12/08/10 00:00:00,137Cs,<,0.403232,,Bq/kg f.w.,SCK•CEN,,,
69,Belgium,8,Kloosterzande,DV 17530,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,03/03/10 00:00:00,226Ra,=,1.798309,0.132,Bq/kg f.w.,SCK•CEN,,,
70,Belgium,8,Kloosterzande,DV 17533,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,06/14/10 00:00:00,226Ra,=,1.298183,0.058,Bq/kg f.w.,SCK•CEN,,,
71,Belgium,8,Kloosterzande,DV 17536,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,09/27/10 00:00:00,226Ra,=,1.678324,0.064,Bq/kg f.w.,SCK•CEN,,,
72,Belgium,8,Kloosterzande,DV 17539,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,12/08/10 00:00:00,226Ra,=,2.172251,0.13,Bq/kg f.w.,SCK•CEN,,,
73,Belgium,8,Kloosterzande,DV 17530,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,03/03/10 00:00:00,228Ra,=,1.394038,0.349,Bq/kg f.w.,SCK•CEN,,,
74,Belgium,8,Kloosterzande,DV 17533,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,06/14/10 00:00:00,228Ra,=,1.415137,0.111,Bq/kg f.w.,SCK•CEN,,,
75,Belgium,8,Kloosterzande,DV 17536,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,09/27/10 00:00:00,228Ra,=,1.749439,0.092,Bq/kg f.w.,SCK•CEN,,,
76,Belgium,8,Kloosterzande,DV 17539,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,12/08/10 00:00:00,228Ra,=,2.861649,0.325,Bq/kg f.w.,SCK•CEN,,,
81,Belgium,8,Kloosterzande,DV 17530,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,03/03/10 00:00:00,"239,240Pu",<,0.011152,,Bq/kg f.w.,SCK•CEN,,,
82,Belgium,8,Kloosterzande,DV 17533,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,06/14/10 00:00:00,"239,240Pu",<,0.035086,,Bq/kg f.w.,SCK•CEN,,,
83,Belgium,8,Kloosterzande,DV 17536,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,09/27/10 00:00:00,"239,240Pu",<,0.008534,,Bq/kg f.w.,SCK•CEN,,,
84,Belgium,8,Kloosterzande,DV 17539,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,12/08/10 00:00:00,"239,240Pu",<,0.032,,Bq/kg f.w.,SCK•CEN,,,
85,Belgium,8,Kloosterzande,DV 17530,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,03/03/10 00:00:00,99Tc,<,10.4762,,Bq/kg f.w.,SCK•CEN,,,
86,Belgium,8,Kloosterzande,DV 17533,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,06/14/10 00:00:00,99Tc,<,9.523521,,Bq/kg f.w.,SCK•CEN,,,
87,Belgium,8,Kloosterzande,DV 17536,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,09/27/10 00:00:00,99Tc,<,27.73501,,Bq/kg f.w.,SCK•CEN,,,
88,Belgium,8,Kloosterzande,DV 17539,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Seaweed,Fucus vesiculosus,WHOLE PLANT,12/08/10 00:00:00,99Tc,<,12.52361,,Bq/kg f.w.,SCK•CEN,,,
89,Belgium,8,Belgica-830,VNZ01,51,42.0,36.0,N,2,27.0,0.0,E,BIOT,Fish,,WHOLE FISH,03/18/10 00:00:00,137Cs,<,0.833662,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
90,Belgium,8,Belgica-120,VNZ02,51,30.0,0.0,N,2,59.0,24.0,E,BIOT,Fish,,WHOLE FISH,03/09/10 00:00:00,137Cs,<,0.40977,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
91,Belgium,8,Belgica-340,VNZ03,51,30.0,1.0,N,2,59.0,25.0,E,BIOT,Fish,,WHOLE FISH,03/15/10 00:00:00,137Cs,<,0.318528,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
92,Belgium,8,Belgica-421,VNZ04,51,28.0,48.0,N,2,27.0,26.0,E,BIOT,Fish,,WHOLE FISH,03/16/10 00:00:00,137Cs,<,0.82782,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
93,Belgium,8,Belgica-840,VNZ05,51,44.0,10.0,N,2,39.0,54.0,E,BIOT,Fish,,WHOLE FISH,03/17/10 00:00:00,137Cs,<,0.561762,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
94,Belgium,8,Belgica-215,VNZ06,51,16.0,30.0,N,2,37.0,48.0,E,BIOT,Fish,,WHOLE FISH,03/10/10 00:00:00,137Cs,<,0.657515,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
95,Belgium,8,Belgica-BR1,VNZ07,51,19.0,12.0,N,2,34.0,12.0,E,BIOT,Fish,,WHOLE FISH,03/10/10 00:00:00,137Cs,<,0.328321,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
96,Belgium,8,Belgica-330,VNZ08,51,25.0,37.0,N,2,47.0,24.0,E,BIOT,Fish,,WHOLE FISH,03/08/10 00:00:00,137Cs,<,0.694761,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
97,Belgium,8,Belgica-BR1,VNZ09,51,19.0,12.0,N,2,34.0,12.0,E,BIOT,Fish,,WHOLE FISH,09/24/10 00:00:00,137Cs,<,0.514468,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
98,Belgium,8,Belgica-120,VNZ10,51,29.0,53.0,N,2,59.0,42.0,E,BIOT,Fish,,WHOLE FISH,09/24/10 00:00:00,137Cs,<,0.699482,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
99,Belgium,8,Belgica-230,VNZ11,51,18.0,36.0,N,2,51.0,0.0,E,BIOT,Fish,,WHOLE FISH,09/24/10 00:00:00,137Cs,<,0.249188,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
100,Belgium,8,Belgica-421,VNZ12,51,28.0,30.0,N,2,27.0,50.0,E,BIOT,Fish,,WHOLE FISH,09/27/10 00:00:00,137Cs,<,0.652219,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
101,Belgium,8,Belgica-7102,VNZ13,51,26.0,35.0,N,3,6.0,54.0,E,BIOT,Fish,,WHOLE FISH,09/24/10 00:00:00,137Cs,<,0.719094,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
102,Belgium,8,Belgica-215,VNZ14,51,16.0,30.0,N,2,37.0,44.0,E,BIOT,Fish,,WHOLE FISH,09/30/10 00:00:00,137Cs,<,1.409002,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
103,Belgium,8,Belgica-7801a,VNZ15,51,27.0,36.0,N,3,1.0,23.0,E,BIOT,Fish,,WHOLE FISH,09/29/10 00:00:00,137Cs,<,0.656715,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
104,Belgium,8,Belgica-315,VNZ16,51,18.0,29.0,N,2,28.0,12.0,E,BIOT,Fish,,WHOLE FISH,09/22/10 00:00:00,137Cs,<,0.480413,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
105,Belgium,8,Belgica-330,VNZ17,51,25.0,37.0,N,2,47.0,24.0,E,BIOT,Fish,,WHOLE FISH,09/28/10 00:00:00,137Cs,<,0.469266,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
106,Belgium,8,Belgica-840,VNZ18,51,44.0,11.0,N,2,39.0,54.0,E,BIOT,Fish,,WHOLE FISH,10/01/10 00:00:00,137Cs,<,0.189996,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
107,Belgium,8,Belgica-340,VNZ19,51,29.0,56.0,N,3,0.0,0.0,E,BIOT,Fish,,WHOLE FISH,10/04/10 00:00:00,137Cs,<,0.165887,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
108,Belgium,8,Belgica-140,VNZ20,51,18.0,36.0,N,3,3.0,32.0,E,BIOT,Fish,,WHOLE FISH,10/06/10 00:00:00,137Cs,<,0.642215,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
109,Belgium,8,Belgica-830,VNZ01,51,42.0,36.0,N,2,27.0,0.0,E,BIOT,Fish,,WHOLE FISH,03/18/10 00:00:00,226Ra,<,2.084156,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
110,Belgium,8,Belgica-120,VNZ02,51,30.0,0.0,N,2,59.0,24.0,E,BIOT,Fish,,WHOLE FISH,03/09/10 00:00:00,226Ra,<,0.841107,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
111,Belgium,8,Belgica-340,VNZ03,51,30.0,1.0,N,2,59.0,25.0,E,BIOT,Fish,,WHOLE FISH,03/15/10 00:00:00,226Ra,<,0.659807,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
112,Belgium,8,Belgica-421,VNZ04,51,28.0,48.0,N,2,27.0,26.0,E,BIOT,Fish,,WHOLE FISH,03/16/10 00:00:00,226Ra,<,1.839601,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
113,Belgium,8,Belgica-840,VNZ05,51,44.0,10.0,N,2,39.0,54.0,E,BIOT,Fish,,WHOLE FISH,03/17/10 00:00:00,226Ra,<,1.040301,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
114,Belgium,8,Belgica-215,VNZ06,51,16.0,30.0,N,2,37.0,48.0,E,BIOT,Fish,,WHOLE FISH,03/10/10 00:00:00,226Ra,<,1.534202,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
115,Belgium,8,Belgica-BR1,VNZ07,51,19.0,12.0,N,2,34.0,12.0,E,BIOT,Fish,,WHOLE FISH,03/10/10 00:00:00,226Ra,<,0.656643,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
116,Belgium,8,Belgica-330,VNZ08,51,25.0,37.0,N,2,47.0,24.0,E,BIOT,Fish,,WHOLE FISH,03/08/10 00:00:00,226Ra,<,1.621109,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
117,Belgium,8,Belgica-BR1,VNZ09,51,19.0,12.0,N,2,34.0,12.0,E,BIOT,Fish,,WHOLE FISH,09/24/10 00:00:00,226Ra,<,1.118408,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
118,Belgium,8,Belgica-120,VNZ10,51,29.0,53.0,N,2,59.0,42.0,E,BIOT,Fish,,WHOLE FISH,09/24/10 00:00:00,226Ra,<,1.530117,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
119,Belgium,8,Belgica-230,VNZ11,51,18.0,36.0,N,2,51.0,0.0,E,BIOT,Fish,,WHOLE FISH,09/24/10 00:00:00,226Ra,<,0.521029,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
120,Belgium,8,Belgica-421,VNZ12,51,28.0,30.0,N,2,27.0,50.0,E,BIOT,Fish,,WHOLE FISH,09/27/10 00:00:00,226Ra,<,1.397612,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
121,Belgium,8,Belgica-7102,VNZ13,51,26.0,35.0,N,3,6.0,54.0,E,BIOT,Fish,,WHOLE FISH,09/24/10 00:00:00,226Ra,<,1.677887,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
122,Belgium,8,Belgica-215,VNZ14,51,16.0,30.0,N,2,37.0,44.0,E,BIOT,Fish,,WHOLE FISH,09/30/10 00:00:00,226Ra,<,3.287672,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
123,Belgium,8,Belgica-7801a,VNZ15,51,27.0,36.0,N,3,1.0,23.0,E,BIOT,Fish,,WHOLE FISH,09/29/10 00:00:00,226Ra,<,1.532336,,Bq/kg f.w.,SCK•CEN,,Pooled sample of more than one species of fish,
