ID,Contracting Party,RSC Sub-division,Station ID,Sample ID,LatD,LatM,LatS,LatDir,LongD,LongM,LongS,LongDir,Sample type,Sampling depth,Sampling date,Nuclide,Value type,Activity or MDA,Uncertainty,Unit,Data provider,Measurement Comment,Sample Comment,Reference Comment
11,Belgium,8.0,Belgica-W05,WNZ 13,51,24.0,58.0,N,2,48.0,35.0,E,Water,3.0,04/20/10 00:00:00,137Cs,<,0.24,,Bq/l,SCK•CEN,,,
12,Belgium,8.0,Belgica-W08,WNZ 16,51,27.0,30.0,N,2,21.0,0.0,E,Water,3.0,04/20/10 00:00:00,137Cs,<,0.09,,Bq/l,SCK•CEN,,,
13,Belgium,8.0,Belgica-W09,WNZ 17,51,44.0,58.0,N,2,42.0,1.0,E,Water,3.0,04/20/10 00:00:00,137Cs,<,0.27,,Bq/l,SCK•CEN,,,
14,Belgium,8.0,Belgica-W02,WNZ 20,51,13.0,25.0,N,2,51.0,34.0,E,Water,3.0,07/14/10 00:00:00,137Cs,<,0.26,,Bq/l,SCK•CEN,,,
15,Belgium,8.0,Belgica-W04,WNZ 22,51,25.0,13.0,N,3,15.0,44.0,E,Water,3.0,07/12/10 00:00:00,137Cs,<,0.24,,Bq/l,SCK•CEN,,,
16,Belgium,8.0,Belgica-W07,WNZ 25,51,35.0,5.0,N,3,0.0,22.0,E,Water,3.0,07/14/10 00:00:00,137Cs,<,0.24,,Bq/l,SCK•CEN,,,
17,Belgium,8.0,Belgica-W10,WNZ 28,51,40.0,58.0,N,2,24.0,57.0,E,Water,3.0,07/15/10 00:00:00,137Cs,<,0.26,,Bq/l,SCK•CEN,,,
18,Belgium,8.0,Belgica-W03,WNZ 31,51,11.0,4.0,N,2,42.0,49.0,E,Water,3.0,12/13/10 00:00:00,137Cs,<,0.2,,Bq/l,SCK•CEN,,,
19,Belgium,8.0,Belgica-W06,WNZ 34,51,15.0,47.0,N,2,25.0,54.0,E,Water,3.0,12/13/10 00:00:00,137Cs,<,0.09,,Bq/l,SCK•CEN,,,
20,Belgium,8.0,Belgica-W08,WNZ 36,51,27.0,30.0,N,2,21.0,0.0,E,Water,3.0,12/14/10 00:00:00,137Cs,<,0.2,,Bq/l,SCK•CEN,,,
21,Belgium,8.0,Belgica-W01,WNZ 01,51,22.0,31.0,N,3,11.0,17.0,E,Water,3.0,01/27/10 00:00:00,"239,240Pu",<,0.15,,Bq/l,SCK•CEN,,,
22,Belgium,8.0,Belgica-W02,WNZ 02,51,13.0,25.0,N,2,51.0,34.0,E,Water,3.0,01/27/10 00:00:00,"239,240Pu",<,0.16,,Bq/l,SCK•CEN,,,
23,Belgium,8.0,Belgica-W03,WNZ 03,51,11.0,4.0,N,2,42.0,49.0,E,Water,3.0,01/27/10 00:00:00,"239,240Pu",<,0.11,,Bq/l,SCK•CEN,,,
24,Belgium,8.0,Belgica-W04,WNZ 04,51,25.0,13.0,N,3,15.0,44.0,E,Water,3.0,01/27/10 00:00:00,"239,240Pu",<,0.14,,Bq/l,SCK•CEN,,,
25,Belgium,8.0,Belgica-W05,WNZ 05,51,24.0,58.0,N,2,48.0,35.0,E,Water,3.0,01/26/10 00:00:00,"239,240Pu",<,0.09,,Bq/l,SCK•CEN,,,
26,Belgium,8.0,Belgica-W06,WNZ 06,51,15.0,46.0,N,2,25.0,54.0,E,Water,3.0,01/27/10 00:00:00,"239,240Pu",<,0.15,,Bq/l,SCK•CEN,,,
27,Belgium,8.0,Belgica-W07,WNZ 07,51,35.0,5.0,N,3,0.0,22.0,E,Water,3.0,01/25/10 00:00:00,"239,240Pu",<,0.17,,Bq/l,SCK•CEN,,,
28,Belgium,8.0,Belgica-W09,WNZ 08,51,44.0,58.0,N,2,42.0,1.0,E,Water,3.0,01/26/10 00:00:00,"239,240Pu",<,0.14,,Bq/l,SCK•CEN,,,
29,Belgium,8.0,Belgica-W10,WNZ 09,51,40.0,58.0,N,2,24.0,57.0,E,Water,3.0,01/26/10 00:00:00,"239,240Pu",<,0.09,,Bq/l,SCK•CEN,,,
30,Belgium,8.0,Belgica-W01,WNZ 10,51,22.0,31.0,N,3,11.0,17.0,E,Water,3.0,04/19/10 00:00:00,"239,240Pu",<,0.08,,Bq/l,SCK•CEN,,,
31,Belgium,8.0,Belgica-W05,WNZ 13,51,24.0,58.0,N,2,48.0,35.0,E,Water,3.0,04/20/10 00:00:00,"239,240Pu",<,0.07,,Bq/l,SCK•CEN,,,
32,Belgium,8.0,Belgica-W08,WNZ 16,51,27.0,30.0,N,2,21.0,0.0,E,Water,3.0,04/20/10 00:00:00,"239,240Pu",<,0.13,,Bq/l,SCK•CEN,,,
33,Belgium,8.0,Belgica-W09,WNZ 17,51,44.0,58.0,N,2,42.0,1.0,E,Water,3.0,04/20/10 00:00:00,"239,240Pu",<,0.13,,Bq/l,SCK•CEN,,,
34,Belgium,8.0,Belgica-W02,WNZ 20,51,13.0,25.0,N,2,51.0,34.0,E,Water,3.0,07/14/10 00:00:00,"239,240Pu",<,0.09,,Bq/l,SCK•CEN,,,
35,Belgium,8.0,Belgica-W04,WNZ 22,51,25.0,13.0,N,3,15.0,44.0,E,Water,3.0,07/12/10 00:00:00,"239,240Pu",<,0.09,,Bq/l,SCK•CEN,,,
36,Belgium,8.0,Belgica-W07,WNZ 25,51,35.0,5.0,N,3,0.0,22.0,E,Water,3.0,07/14/10 00:00:00,"239,240Pu",<,0.08,,Bq/l,SCK•CEN,,,
37,Belgium,8.0,Belgica-W10,WNZ 28,51,40.0,58.0,N,2,24.0,57.0,E,Water,3.0,07/15/10 00:00:00,"239,240Pu",<,0.07,,Bq/l,SCK•CEN,,,
38,Belgium,8.0,Belgica-W03,WNZ 31,51,11.0,4.0,N,2,42.0,49.0,E,Water,3.0,12/13/10 00:00:00,"239,240Pu",<,0.05,,Bq/l,SCK•CEN,,,
39,Belgium,8.0,Belgica-W06,WNZ 34,51,15.0,47.0,N,2,25.0,54.0,E,Water,3.0,12/13/10 00:00:00,"239,240Pu",<,0.07,,Bq/l,SCK•CEN,,,
40,Belgium,8.0,Belgica-W08,WNZ 36,51,27.0,30.0,N,2,21.0,0.0,E,Water,3.0,12/14/10 00:00:00,"239,240Pu",<,0.07,,Bq/l,SCK•CEN,,,
41,Belgium,8.0,Belgica-W01,WNZ 01,51,22.0,31.0,N,3,11.0,17.0,E,Water,3.0,01/27/10 00:00:00,226Ra,<,0.4,,Bq/l,SCK•CEN,,,
42,Belgium,8.0,Belgica-W02,WNZ 02,51,13.0,25.0,N,2,51.0,34.0,E,Water,3.0,01/27/10 00:00:00,226Ra,<,0.6,,Bq/l,SCK•CEN,,,
43,Belgium,8.0,Belgica-W03,WNZ 03,51,11.0,4.0,N,2,42.0,49.0,E,Water,3.0,01/27/10 00:00:00,226Ra,<,0.6,,Bq/l,SCK•CEN,,,
44,Belgium,8.0,Belgica-W04,WNZ 04,51,25.0,13.0,N,3,15.0,44.0,E,Water,3.0,01/27/10 00:00:00,226Ra,<,0.6,,Bq/l,SCK•CEN,,,
45,Belgium,8.0,Belgica-W05,WNZ 05,51,24.0,58.0,N,2,48.0,35.0,E,Water,3.0,01/26/10 00:00:00,226Ra,<,0.4,,Bq/l,SCK•CEN,,,
46,Belgium,8.0,Belgica-W06,WNZ 06,51,15.0,46.0,N,2,25.0,54.0,E,Water,3.0,01/27/10 00:00:00,226Ra,<,0.6,,Bq/l,SCK•CEN,,,
47,Belgium,8.0,Belgica-W07,WNZ 07,51,35.0,5.0,N,3,0.0,22.0,E,Water,3.0,01/25/10 00:00:00,226Ra,<,0.24,,Bq/l,SCK•CEN,,,
48,Belgium,8.0,Belgica-W09,WNZ 08,51,44.0,58.0,N,2,42.0,1.0,E,Water,3.0,01/26/10 00:00:00,226Ra,<,0.6,,Bq/l,SCK•CEN,,,
49,Belgium,8.0,Belgica-W10,WNZ 09,51,40.0,58.0,N,2,24.0,57.0,E,Water,3.0,01/26/10 00:00:00,226Ra,<,0.6,,Bq/l,SCK•CEN,,,
50,Belgium,8.0,Belgica-W01,WNZ 10,51,22.0,31.0,N,3,11.0,17.0,E,Water,3.0,04/19/10 00:00:00,226Ra,<,0.4,,Bq/l,SCK•CEN,,,
51,Belgium,8.0,Belgica-W05,WNZ 13,51,24.0,58.0,N,2,48.0,35.0,E,Water,3.0,04/20/10 00:00:00,226Ra,<,0.5,,Bq/l,SCK•CEN,,,
52,Belgium,8.0,Belgica-W08,WNZ 16,51,27.0,30.0,N,2,21.0,0.0,E,Water,3.0,04/20/10 00:00:00,226Ra,<,0.18,,Bq/l,SCK•CEN,,,
53,Belgium,8.0,Belgica-W09,WNZ 17,51,44.0,58.0,N,2,42.0,1.0,E,Water,3.0,04/20/10 00:00:00,226Ra,<,0.6,,Bq/l,SCK•CEN,,,
54,Belgium,8.0,Belgica-W02,WNZ 20,51,13.0,25.0,N,2,51.0,34.0,E,Water,3.0,07/14/10 00:00:00,226Ra,<,0.6,,Bq/l,SCK•CEN,,,
55,Belgium,8.0,Belgica-W04,WNZ 22,51,25.0,13.0,N,3,15.0,44.0,E,Water,3.0,07/12/10 00:00:00,226Ra,<,0.5,,Bq/l,SCK•CEN,,,
56,Belgium,8.0,Belgica-W07,WNZ 25,51,35.0,5.0,N,3,0.0,22.0,E,Water,3.0,07/14/10 00:00:00,226Ra,<,0.5,,Bq/l,SCK•CEN,,,
57,Belgium,8.0,Belgica-W10,WNZ 28,51,40.0,58.0,N,2,24.0,57.0,E,Water,3.0,07/15/10 00:00:00,226Ra,=,0.53,0.1,Bq/l,SCK•CEN,,,
58,Belgium,8.0,Belgica-W03,WNZ 31,51,11.0,4.0,N,2,42.0,49.0,E,Water,3.0,12/13/10 00:00:00,226Ra,<,0.4,,Bq/l,SCK•CEN,,,
59,Belgium,8.0,Belgica-W06,WNZ 34,51,15.0,47.0,N,2,25.0,54.0,E,Water,3.0,12/13/10 00:00:00,226Ra,<,0.17,,Bq/l,SCK•CEN,,,
60,Belgium,8.0,Belgica-W08,WNZ 36,51,27.0,30.0,N,2,21.0,0.0,E,Water,3.0,12/14/10 00:00:00,226Ra,<,0.4,,Bq/l,SCK•CEN,,,
61,Belgium,8.0,Belgica-W01,WNZ 01,51,22.0,31.0,N,3,11.0,17.0,E,Water,3.0,01/27/10 00:00:00,228Ra,<,0.8,,Bq/l,SCK•CEN,,,
62,Belgium,8.0,Belgica-W02,WNZ 02,51,13.0,25.0,N,2,51.0,34.0,E,Water,3.0,01/27/10 00:00:00,228Ra,<,1.1,,Bq/l,SCK•CEN,,,
63,Belgium,8.0,Belgica-W03,WNZ 03,51,11.0,4.0,N,2,42.0,49.0,E,Water,3.0,01/27/10 00:00:00,228Ra,<,1.0,,Bq/l,SCK•CEN,,,
64,Belgium,8.0,Belgica-W04,WNZ 04,51,25.0,13.0,N,3,15.0,44.0,E,Water,3.0,01/27/10 00:00:00,228Ra,<,1.0,,Bq/l,SCK•CEN,,,
65,Belgium,8.0,Belgica-W05,WNZ 05,51,24.0,58.0,N,2,48.0,35.0,E,Water,3.0,01/26/10 00:00:00,228Ra,<,0.8,,Bq/l,SCK•CEN,,,
66,Belgium,8.0,Belgica-W06,WNZ 06,51,15.0,46.0,N,2,25.0,54.0,E,Water,3.0,01/27/10 00:00:00,228Ra,<,1.0,,Bq/l,SCK•CEN,,,
67,Belgium,8.0,Belgica-W07,WNZ 07,51,35.0,5.0,N,3,0.0,22.0,E,Water,3.0,01/25/10 00:00:00,228Ra,<,0.8,,Bq/l,SCK•CEN,,,
68,Belgium,8.0,Belgica-W09,WNZ 08,51,44.0,58.0,N,2,42.0,1.0,E,Water,3.0,01/26/10 00:00:00,228Ra,<,1.1,,Bq/l,SCK•CEN,,,
69,Belgium,8.0,Belgica-W10,WNZ 09,51,40.0,58.0,N,2,24.0,57.0,E,Water,3.0,01/26/10 00:00:00,228Ra,<,1.2,,Bq/l,SCK•CEN,,,
70,Belgium,8.0,Belgica-W01,WNZ 10,51,22.0,31.0,N,3,11.0,17.0,E,Water,3.0,04/19/10 00:00:00,228Ra,<,0.8,,Bq/l,SCK•CEN,,,
71,Belgium,8.0,Belgica-W05,WNZ 13,51,24.0,58.0,N,2,48.0,35.0,E,Water,3.0,04/20/10 00:00:00,228Ra,<,1.1,,Bq/l,SCK•CEN,,,
72,Belgium,8.0,Belgica-W08,WNZ 16,51,27.0,30.0,N,2,21.0,0.0,E,Water,3.0,04/20/10 00:00:00,228Ra,<,0.33,,Bq/l,SCK•CEN,,,
73,Belgium,8.0,Belgica-W09,WNZ 17,51,44.0,58.0,N,2,42.0,1.0,E,Water,3.0,04/20/10 00:00:00,228Ra,<,1.1,,Bq/l,SCK•CEN,,,
74,Belgium,8.0,Belgica-W02,WNZ 20,51,13.0,25.0,N,2,51.0,34.0,E,Water,3.0,07/14/10 00:00:00,228Ra,<,1.1,,Bq/l,SCK•CEN,,,
75,Belgium,8.0,Belgica-W04,WNZ 22,51,25.0,13.0,N,3,15.0,44.0,E,Water,3.0,07/12/10 00:00:00,228Ra,<,1.0,,Bq/l,SCK•CEN,,,
76,Belgium,8.0,Belgica-W07,WNZ 25,51,35.0,5.0,N,3,0.0,22.0,E,Water,3.0,07/14/10 00:00:00,228Ra,<,1.0,,Bq/l,SCK•CEN,,,
77,Belgium,8.0,Belgica-W10,WNZ 28,51,40.0,58.0,N,2,24.0,57.0,E,Water,3.0,07/15/10 00:00:00,228Ra,<,1.1,,Bq/l,SCK•CEN,,,
78,Belgium,8.0,Belgica-W03,WNZ 31,51,11.0,4.0,N,2,42.0,49.0,E,Water,3.0,12/13/10 00:00:00,228Ra,<,0.7,,Bq/l,SCK•CEN,,,
79,Belgium,8.0,Belgica-W06,WNZ 34,51,15.0,47.0,N,2,25.0,54.0,E,Water,3.0,12/13/10 00:00:00,228Ra,<,0.33,,Bq/l,SCK•CEN,,,
80,Belgium,8.0,Belgica-W08,WNZ 36,51,27.0,30.0,N,2,21.0,0.0,E,Water,3.0,12/14/10 00:00:00,228Ra,<,0.7,,Bq/l,SCK•CEN,,,
546,Denmark,12.0,Hesselø,20100415,56,10.0,0.0,N,11,47.0,0.0,E,Water,2.0,05/01/10 00:00:00,137Cs,=,0.0265165,0.0008750445,Bq/l,Risø-DTU,,,
547,Denmark,12.0,Hesselø,20100416,56,10.0,0.0,N,11,47.0,0.0,E,Water,21.0,05/01/10 00:00:00,137Cs,=,0.0041332,0.000371988,Bq/l,Risø-DTU,,,
548,Denmark,12.0,Hesselø,20100440,56,10.0,0.0,N,11,47.0,0.0,E,Water,21.0,11/26/10 00:00:00,137Cs,=,0.0144538,0.0003902526,Bq/l,Risø-DTU,,,
549,Denmark,12.0,Hesselø,20100439,56,7.0,0.0,N,11,10.0,0.0,E,Water,2.0,11/26/10 00:00:00,137Cs,=,0.0150947,0.0006490721,Bq/l,Risø-DTU,,,
550,Denmark,12.0,Kattegat SW,20100417,56,7.0,0.0,N,11,10.0,0.0,E,Water,2.0,05/01/10 00:00:00,137Cs,=,0.0239164,0.000717492,Bq/l,Risø-DTU,,,
551,Denmark,12.0,Kattegat SW,20100418,56,7.0,0.0,N,11,10.0,0.0,E,Water,31.0,05/01/10 00:00:00,137Cs,=,0.0057415,0.0003846805,Bq/l,Risø-DTU,,,
552,Denmark,12.0,Kattegat SW,20100441,56,7.0,0.0,N,11,10.0,0.0,E,Water,2.0,11/01/10 00:00:00,137Cs,=,0.0208317,0.0004374657,Bq/l,Risø-DTU,,,
553,Denmark,12.0,Kattegat SW,20100442,56,7.0,0.0,N,11,10.0,0.0,E,Water,32.0,11/01/10 00:00:00,137Cs,=,0.014749,0.000634207,Bq/l,Risø-DTU,,,
554,Denmark,12.0,Kattegat-413,20100435,56,40.0,20.0,N,12,0.0,0.0,E,Water,2.0,05/01/10 00:00:00,137Cs,=,0.0229659,0.0006660111,Bq/l,Risø-DTU,,,
555,Denmark,12.0,Kattegat-413,20100436,56,40.0,20.0,N,12,0.0,0.0,E,Water,24.0,05/01/10 00:00:00,137Cs,=,0.0045075,0.0002298825,Bq/l,Risø-DTU,,,
556,Denmark,12.0,Kattegat-413,20100459,56,40.0,20.0,N,12,0.0,0.0,E,Water,2.0,12/01/10 00:00:00,137Cs,=,0.0177637,0.0007283117,Bq/l,Risø-DTU,,,
557,Denmark,12.0,Kattegat-413,20100460,56,40.0,20.0,N,12,0.0,0.0,E,Water,22.0,12/01/10 00:00:00,137Cs,=,0.0117496,0.0006579776,Bq/l,Risø-DTU,,,
562,Denmark,12.0,Hesselø,20100415,56,10.0,0.0,N,11,47.0,0.0,E,Water,2.0,05/01/10 00:00:00,99Tc,=,0.0001831,9.8874e-06,Bq/l,Risø-DTU,,,
563,Denmark,12.0,Hesselø,20100416,56,10.0,0.0,N,11,47.0,0.0,E,Water,21.0,05/01/10 00:00:00,99Tc,=,0.0004656,1.30368e-05,Bq/l,Risø-DTU,,,
564,Denmark,12.0,Hesselø,20100440,56,7.0,0.0,N,11,10.0,0.0,E,Water,21.0,11/26/10 00:00:00,99Tc,=,0.0002501,1.42557e-05,Bq/l,Risø-DTU,,,
565,Denmark,12.0,Hesselø,20100439,56,7.0,0.0,N,11,10.0,0.0,E,Water,2.0,11/26/10 00:00:00,99Tc,=,0.0002669,1.57471e-05,Bq/l,Risø-DTU,,,
566,Denmark,12.0,Kattegat-413,20100435,56,40.0,20.0,N,12,0.0,0.0,E,Water,2.0,05/01/10 00:00:00,99Tc,=,0.000286,1.3442e-05,Bq/l,Risø-DTU,,,
567,Denmark,12.0,Kattegat-413,20100436,56,40.0,20.0,N,12,0.0,0.0,E,Water,24.0,05/01/10 00:00:00,99Tc,=,0.0004176,1.2528e-05,Bq/l,Risø-DTU,,,
568,Denmark,12.0,Kattegat-413,20100459,56,40.0,20.0,N,12,0.0,0.0,E,Water,2.0,12/01/10 00:00:00,99Tc,=,0.0002397,1.4382e-05,Bq/l,Risø-DTU,,,
569,Denmark,12.0,Kattegat-413,20100460,56,40.0,20.0,N,12,0.0,0.0,E,Water,22.0,12/01/10 00:00:00,99Tc,=,0.0002782,2.28124e-05,Bq/l,Risø-DTU,,,
1117,Germany,7.0,45A,2010270,57,59.0,56.0,N,1,58.0,26.0,W,Water,0.0,08/16/10 00:00:00,137Cs,=,0.0040999999999999,0.0001599,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1118,Germany,7.0,45B,2010271,58,29.0,4.0,N,2,29.0,13.0,W,Water,0.0,08/16/10 00:00:00,137Cs,=,0.0039,9.75e-05,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1119,Germany,7.0,46A,2010272,58,59.0,40.0,N,2,0.0,26.0,W,Water,0.0,08/16/10 00:00:00,137Cs,=,0.0032,0.000112,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1120,Germany,7.0,45A,2010270,57,59.0,56.0,N,1,58.0,26.0,W,Water,0.0,08/16/10 00:00:00,"239,240Pu",=,3.22e-05,1.61e-06,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1121,Germany,7.0,45B,2010271,58,29.0,4.0,N,2,29.0,13.0,W,Water,0.0,08/16/10 00:00:00,"239,240Pu",=,3.13e-05,1.565e-06,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1122,Germany,7.0,46A,2010272,58,59.0,40.0,N,2,0.0,26.0,W,Water,0.0,08/16/10 00:00:00,"239,240Pu",=,2.74e-05,1.644e-06,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1123,Germany,7.0,45A,2010270,57,59.0,56.0,N,1,58.0,26.0,W,Water,0.0,08/16/10 00:00:00,3H,=,0.29,0.019459,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1124,Germany,7.0,45B,2010271,58,29.0,4.0,N,2,29.0,13.0,W,Water,0.0,08/16/10 00:00:00,3H,=,0.28,0.019012,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1125,Germany,7.0,46A,2010272,58,59.0,40.0,N,2,0.0,26.0,W,Water,0.0,08/16/10 00:00:00,3H,=,0.24,0.019344,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1126,Germany,8.0,9B,2010223,53,19.0,49.0,N,4,38.0,30.0,E,Water,0.0,08/06/10 00:00:00,137Cs,=,0.0022,0.0001738,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1127,Germany,8.0,10,2010224,53,0.0,2.0,N,4,0.0,3.0,E,Water,0.0,08/06/10 00:00:00,137Cs,=,0.002,0.000136,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1128,Germany,8.0,11,2010225,52,29.0,59.0,N,4,20.0,0.0,E,Water,0.0,08/06/10 00:00:00,137Cs,=,0.0017,0.0001156,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1129,Germany,8.0,12,2010226,51,59.0,59.0,N,3,44.0,1.0,E,Water,0.0,08/06/10 00:00:00,137Cs,=,0.002,0.000164,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1130,Germany,8.0,13,2010227,51,42.0,14.0,N,2,51.0,27.0,E,Water,0.0,08/07/10 00:00:00,137Cs,=,0.0019,0.0001102,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1131,Germany,8.0,9B,2010223,53,19.0,49.0,N,4,38.0,30.0,E,Water,0.0,08/06/10 00:00:00,"239,240Pu",=,2.3e-06,2.99e-07,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1132,Germany,8.0,10,2010224,53,0.0,2.0,N,4,0.0,3.0,E,Water,0.0,08/06/10 00:00:00,"239,240Pu",=,3.6e-06,3.96e-07,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1133,Germany,8.0,11,2010225,52,29.0,59.0,N,4,20.0,0.0,E,Water,0.0,08/06/10 00:00:00,"239,240Pu",=,2.6e-06,3.12e-07,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1134,Germany,8.0,12,2010226,51,59.0,59.0,N,3,44.0,1.0,E,Water,0.0,08/06/10 00:00:00,"239,240Pu",=,3.9e-06,4.29e-07,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1135,Germany,8.0,13,2010227,51,42.0,14.0,N,2,51.0,27.0,E,Water,0.0,08/07/10 00:00:00,"239,240Pu",=,3.4e-06,4.42e-07,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1136,Germany,8.0,9B,2010223,53,19.0,49.0,N,4,38.0,30.0,E,Water,0.0,08/06/10 00:00:00,3H,=,1.32,0.024552,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1137,Germany,8.0,10,2010224,53,0.0,2.0,N,4,0.0,3.0,E,Water,0.0,08/06/10 00:00:00,3H,=,0.87,0.018705,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1138,Germany,8.0,11,2010225,52,29.0,59.0,N,4,20.0,0.0,E,Water,0.0,08/06/10 00:00:00,3H,=,3.29,0.030926,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1139,Germany,8.0,12,2010226,51,59.0,59.0,N,3,44.0,1.0,E,Water,0.0,08/06/10 00:00:00,3H,=,2.7,0.02727,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1140,Germany,8.0,13,2010227,51,42.0,14.0,N,2,51.0,27.0,E,Water,0.0,08/07/10 00:00:00,3H,=,1.79,0.023628,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1141,Germany,9.0,Medem,2010216,53,52.0,44.0,N,8,43.0,4.0,E,Water,0.0,08/04/10 00:00:00,137Cs,=,0.002,0.000156,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1142,Germany,9.0,3,2010217,54,0.0,6.0,N,8,6.0,18.0,E,Water,0.0,08/04/10 00:00:00,137Cs,=,0.0025,0.0001475,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1143,Germany,9.0,7,2010218,54,0.0,0.0,N,6,25.0,4.0,E,Water,0.0,08/05/10 00:00:00,137Cs,=,0.0018,8.82e-05,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1144,Germany,9.0,22,2010239,55,0.0,3.0,N,6,15.0,1.0,E,Water,0.0,08/09/10 00:00:00,137Cs,=,0.0032,3.52e-05,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1145,Germany,9.0,22A,2010240,54,59.0,53.0,N,6,58.0,59.0,E,Water,0.0,08/10/10 00:00:00,137Cs,=,0.0022,0.0001474,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1146,Germany,9.0,23,2010241,55,0.0,0.0,N,7,35.0,1.0,E,Water,0.0,08/10/10 00:00:00,137Cs,=,0.0024,0.000168,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1147,Germany,9.0,25,2010242,54,59.0,52.0,N,8,15.0,0.0,E,Water,0.0,08/10/10 00:00:00,137Cs,=,0.002,0.0001,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1148,Germany,9.0,26,2010243,56,0.0,1.0,N,7,48.0,4.0,E,Water,0.0,08/10/10 00:00:00,137Cs,=,0.0027,0.0001566,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
1149,Germany,9.0,26A,2010244,55,59.0,56.0,N,7,0.0,52.0,E,Water,0.0,08/10/10 00:00:00,137Cs,=,0.0024,9.12e-05,Bq/l,"Federal Maritime and Hydrographic Agency, Hamburg",,,
